; Features; Center X Pos.; Center Y Pos.; Area; Length; Radius; Start X Pos.; Start Y Pos.; End X Pos.; End Y Pos.; Angle; Avg. Dist.; Min. Dist.; Max. Dist.; Ctr-to-Ctr Dist.; Perp. Dist.; Count
; Features; Center X Pos.; Center Y Pos.; Area; Length; Radius; Start X Pos.; Start Y Pos.; End X Pos.; End Y Pos.; Angle; Avg. Dist.; Min. Dist.; Max. Dist.; Ctr-to-Ctr Dist.; Perp. Dist.; Count
1;P1;89.61238;111.9379;;;;;;;;;;;;;;
2;P2;225.7364;87.44183;;;;;;;;;;;;;;
3;P3;163.1007;98.60462;;;;;;;;;;;;;;
4;P4;168.062;97.36431;;;;;;;;;;;;;;
5;P5;174.1085;96.74416;;;;;;;;;;;;;;
6;P6;179.3798;95.65889;;;;;;;;;;;;;;
7;P7;186.2015;94.72865;;;;;;;;;;;;;;
8;P8;191.6278;93.3333;;;;;;;;;;;;;;
9;P9;157.8294;99.53485;;;;;;;;;;;;;;
10;P10;151.0077;100.7752;;;;;;;;;;;;;;
11;P11;144.8062;101.7054;;;;;;;;;;;;;;
12;P12;137.0542;103.5659;;;;;;;;;;;;;;
13;P13;129.3023;104.186;;;;;;;;;;;;;;
14;P14;198.1395;92.40307;;;;;;;;;;;;;;
15;P15;97.05423;110.6976;;;;;;;;;;;;;;
16;P16;105.1162;108.8372;;;;;;;;;;;;;;
17;P17;113.7984;107.2868;;;;;;;;;;;;;;
18;P18;121.5503;105.7364;;;;;;;;;;;;;;
19;P19;203.1007;91.16276;;;;;;;;;;;;;;
20;P20;208.6821;89.92245;;;;;;;;;;;;;;
21;P21;214.8837;89.3023;;;;;;;;;;;;;;
22;P22;221.0852;87.75191;;;;;;;;;;;;;;
